Canonical_SMILES,AMES,BBB,Bioavailability,Caco2,Clearance_H.,Clearance_M.,CYP2C9_Sub.,CYP2C9_In.,CYP2D6_Sub.,CYP2D6_In.,CYP3A4_Sub.,CYP3A4_In.,DILI,Half_Life,hERG,HIA_Hou,LD50_Zhu,Lipophilicity,Pgp,PPBR,Solubility,VDss
C1=Cc2ccccc2NN=C1,0.577441934,0.944611111,0.853058313,-4.693471634,22.03021434,18.40872203,0.207912878,0.305905814,0.214140268,0.161106565,0.537028949,0.347560974,0.4218026,11.47534521,0.220067836,0.966114394,2.299244228,2.756626496,0.157555186,94.45861787,-2.123069185,3.084973749
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0.097367162,0.870831165,0.752112297,-4.990902663,16.66839617,63.17492718,0.191688981,0.164967502,0.182551143,0.125277518,0.591360389,0.603427599,0.206312755,14.95262589,0.658201749,0.368638685,2.257671244,2.449053044,0.687920131,87.88257238,-5.21414518,6.279987251
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,0.245308889,0.752971849,0.772331265,-5.391971636,28.30901598,60.94951082,0.23663961,0.529960983,0.174335307,0.121975066,0.454493327,0.282065641,0.517340201,15.16646707,0.371099913,0.896362447,2.412407937,2.273487794,0.722643469,91.43441694,-4.868592775,5.461430986
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,0.111113281,0.834146872,0.775061142,-5.18079811,18.945757,43.07046189,0.202800255,0.340813913,0.179179483,0.122604164,0.524935239,0.543374059,0.358434207,12.71699362,0.388297592,0.918075704,2.175233435,2.596511386,0.687880841,90.45825543,-5.170993092,5.293746029
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,0.424012637,0.783003631,0.761348217,-5.738044723,18.52163815,18.29249846,0.251416968,0.085097058,0.165588271,0.069815032,0.545916305,0.102730558,0.379506892,43.48087918,0.262361833,0.913005669,3.027910262,1.63380683,0.092310613,72.77630131,-0.664961547,1.396243322
Cc1ccc(-c2ccc(C)cn2)nc1,0.307660613,0.936252167,0.870689686,-4.616431394,16.5539026,12.1082878,0.201503761,0.410271295,0.192879998,0.106807675,0.40424594,0.21200537,0.406180134,8.957312166,0.593451841,0.969651321,2.29358746,2.884412112,0.115588747,97.48230205,-2.6595881,4.112589674
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0.153045597,0.237952802,0.545122021,-6.198316148,57.71798576,71.53946968,0.230867375,0.360841823,0.243297083,0.178771252,0.608945827,0.836187802,0.717161207,22.29713022,0.742182451,0.577694108,2.930133944,2.289214004,0.70293245,81.58430257,-3.610944007,3.504886967
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0.791016395,0.89425537,0.791953568,-4.957488628,32.50800823,32.5841886,0.211975425,0.26244588,0.225623027,0.474060112,0.662635556,0.493299802,0.649837849,20.0246644,0.867511687,0.960364765,3.368137263,2.831121943,0.942698481,92.18476426,-3.806959259,4.482808146
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,0.49870781,0.882790022,0.852698035,-4.905194499,26.02067097,32.15645691,0.226772683,0.178223146,0.187648082,0.145501708,0.47940566,0.670483558,0.798230756,12.90654722,0.481727598,0.964838449,2.575780084,3.042982383,0.208981406,95.15014531,-2.340068698,2.327742199
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,0.657210965,0.831694824,0.818856972,-5.009528943,38.12817475,43.93736297,0.24821731,0.687833724,0.180789665,0.12460714,0.507644627,0.595319081,0.860044214,12.27406665,0.668166461,0.963535304,2.880613156,2.678803932,0.881359324,94.81121384,-3.700735244,4.950290374
CC(=O)OC1CN2CCC1CC2,0.177541062,0.918276413,0.828356898,-4.625356526,20.24432836,30.30163704,0.181902462,0.096287122,0.24892538,0.201895894,0.476599961,0.092645042,0.157923929,11.37881501,0.760611762,0.96913103,2.091519884,1.946088569,0.107753837,89.67339628,-1.013381148,2.32170386
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0.390324954,0.891910144,0.835761296,-5.032891318,25.0186099,20.67163373,0.228851926,0.10981217,0.216216579,0.07718887,0.503205923,0.098502941,0.718301382,18.33359289,0.193047269,0.965343383,2.150711985,2.359879841,0.110694925,87.10246916,-1.628093795,1.569221953
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0.17584834,0.886841779,0.843796726,-4.730560797,20.2201561,33.60208075,0.184484918,0.084285366,0.199156692,0.063976897,0.493493461,0.089619387,0.158319111,17.97729768,0.353490067,0.285661702,1.973718921,0.916997594,0.080228633,91.18484202,-0.493539569,1.277950208
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,0.284754938,0.500897734,0.715016406,-5.500273025,53.52519244,54.89048998,0.181579316,0.117631457,0.14049479,0.071501721,0.666160601,0.380396386,0.550177982,19.89721875,0.574924206,0.954226388,2.874656542,2.685627357,0.754118706,90.74240656,-4.180607796,4.720313346
