,AMES,BBB,Bioavailability,Caco2,Clearance_H.,Clearance_M.,CYP2C9_Sub.,CYP2C9_In.,CYP2D6_Sub.,CYP2D6_In.,CYP3A4_Sub.,CYP3A4_In.,DILI,Half_Life,hERG,HIA_Hou,LD50_Zhu,Lipophilicity,Pgp,PPBR,Solubility,VDss
Paroxetine,59.8,61.9,77.4,35.3,56.8,31.7,13.6,21.8,96.6,92.0,10.9,64.7,37.5,47.0,74.5,70.8,44.0,29.0,41.1,22.8,75.5,20.8
Leflunomide,56.7,65.5,71.0,43.4,98.9,40.8,8.5,4.1,9.1,16.1,69.2,37.6,92.8,8.6,17.0,36.1,64.9,55.8,11.6,22.7,87.3,23.1
Granisetron,58.9,60.5,57.4,22.9,54.6,17.5,36.4,15.2,92.9,84.1,79.9,27.3,60.9,60.6,66.3,40.4,15.5,26.4,37.2,10.2,76.0,56.8
Pergolide,95.7,72.2,25.0,46.7,86.2,90.3,28.6,25.6,84.2,99.2,85.1,42.8,21.8,61.7,81.4,37.4,69.8,50.0,52.4,27.3,35.4,99.2
Molindone,73.0,57.2,53.3,46.6,23.3,16.2,44.2,1.1,97.9,70.4,47.5,38.3,11.8,76.2,73.4,41.1,45.5,26.3,36.0,7.7,95.7,84.4
Chloramphenicol palmitate,96.5,46.5,61.2,42.9,54.7,63.7,7.6,87.3,33.1,74.4,48.4,84.3,30.7,27.0,46.9,67.3,47.1,90.3,75.0,88.6,2.3,85.9
Clindamycin,39.5,11.4,17.0,4.8,95.8,32.5,72.3,6.3,46.5,31.1,51.2,18.2,57.3,43.1,38.5,19.5,51.9,7.6,67.4,0.8,68.5,73.2
Rifapentine,89.4,6.9,8.0,21.8,86.0,89.4,20.7,65.7,13.9,44.2,69.3,87.9,82.7,93.0,78.9,25.0,71.5,40.7,68.6,36.4,10.4,94.7
Candesartan cilexetil,92.4,33.4,39.8,31.0,89.3,80.9,99.5,98.6,12.0,63.7,50.4,85.9,88.5,1.0,76.0,54.2,51.1,92.0,97.9,86.4,4.3,63.4
Rifampin,78.5,0.3,6.4,8.4,90.1,98.8,3.1,25.9,0.0,33.0,74.8,40.1,82.6,95.6,51.4,11.4,91.0,33.0,55.8,17.0,22.8,93.9
Chlorprothixene,67.1,79.9,54.6,88.0,87.6,22.3,50.7,38.2,99.9,98.4,61.0,35.2,55.5,97.1,80.5,53.2,38.6,69.3,97.8,29.5,9.8,98.1
Atovaquone,36.9,34.4,6.7,48.9,5.4,57.7,34.9,88.6,29.1,72.7,24.6,52.8,60.4,81.6,37.0,65.6,72.6,92.8,67.2,95.2,6.4,93.8
Clomipramine,47.7,81.1,74.3,85.3,65.9,45.9,99.7,29.0,100.0,99.4,84.8,41.3,34.2,96.9,95.6,73.9,44.3,60.7,59.3,62.2,15.4,98.0
Methixene,79.0,92.4,88.1,78.2,24.6,27.2,56.8,57.6,98.9,98.6,84.1,54.5,24.0,20.1,99.8,77.5,56.7,78.6,95.2,73.7,15.5,97.2
Ethopropazine,29.8,77.9,75.6,88.1,92.1,39.8,63.1,37.3,97.4,99.3,19.8,36.4,50.2,47.1,78.6,73.5,33.5,78.9,74.3,86.7,13.2,99.4
Famotidine,86.2,20.1,30.5,2.8,82.0,0.3,18.8,22.6,50.2,46.8,2.3,27.0,70.5,58.2,65.0,15.2,12.9,0.3,26.5,2.0,86.5,20.4
Cimetidine,68.9,7.9,47.0,9.2,86.1,24.8,58.8,13.1,99.1,59.2,45.1,24.4,49.0,26.4,0.6,22.1,11.7,1.0,22.5,0.0,81.2,34.4
Tegaserod,91.9,29.7,34.8,6.7,75.6,25.2,47.9,27.9,99.7,74.0,33.2,42.0,38.6,77.1,42.9,35.5,77.5,26.2,31.5,20.3,91.5,28.3
Cefdinir,55.3,0.6,3.4,4.7,99.0,27.4,68.5,14.2,42.3,24.7,31.4,21.6,95.7,95.8,16.3,6.8,88.7,5.3,20.5,8.7,84.9,32.5
Carbenicillin Indanyl,5.4,1.8,14.9,8.0,85.2,97.6,65.8,20.4,42.4,48.9,47.8,35.8,67.5,96.5,41.7,12.7,54.5,2.5,35.1,18.9,69.6,61.8
