Canonical_SMILES,QED,ADMET_risk_favorability,expected_favorability,residual
C1=Cc2ccccc2NN=C1,0.592,41.529,49.211,-7.682
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0.026,52.551,51.462,1.089
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,0.024,43.719,51.471,-7.752
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,0.024,50.567,51.47,-0.903
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,0.228,69.179,50.658,18.521
Cc1ccc(-c2ccc(C)cn2)nc1,0.681,43.459,48.859,-5.4
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,0.025,31.296,51.467,-20.171
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0.381,19.118,50.052,-30.934
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,0.835,31.495,48.247,-16.751
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,0.447,17.647,49.79,-32.143
CC(=O)OC1CN2CCC1CC2,0.54,60.662,49.42,11.241
CC(=O)Nc1cc([As](=O)(O)O)ccc1O,0.405,64.476,49.954,14.522
CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0.414,83.732,49.919,33.813
CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O,0.205,53.11,50.751,2.359
[C],0.346,85.202,50.191,35.012
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,0.358,16.605,50.141,-33.536
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,0.52,44.991,49.499,-4.508
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0.207,20.895,50.742,-29.847
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,0.39,52.773,50.014,2.759
CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C,0.01,37.148,51.525,-14.378
COc1ccc2cccc(CCNC(C)=O)c2c1,0.896,30.224,48.004,-17.781
CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0.822,46.094,48.297,-2.203
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,0.333,32.154,50.241,-18.087
CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,0.76,26.823,48.542,-21.719
NC(=O)NC1NC(=O)[N-]C1=O.[Al+3].[Al+3].[Cl-].[OH-].[OH-].[OH-].[OH-],0.312,68.459,50.324,18.135
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.528,58.992,49.467,9.525
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0.193,43.214,50.798,-7.584
CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,0.53,55.913,49.46,6.453
